what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.web,1.1.400.v201005270700,"org.eclipse.wst.web",1278201855322
os,sysinfo,,,"macosx",1278201855327
arch,sysinfo,,,"x86",1278201855327
ws,sysinfo,,,"cocoa",1278201855327
locale,sysinfo,,,"en_US",1278201855327
processors,sysinfo,,,"2",1278201855327
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1278201855327
java.runtime.version,sysinfo,,,"1.6.0_20-b02-279-10M3065",1278201855327
java.specification.name,sysinfo,,,"Java Platform API Specification",1278201855328
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1278201855328
java.specification.version,sysinfo,,,"1.6",1278201855328
java.vendor,sysinfo,,,"Apple Inc.",1278201855328
java.version,sysinfo,,,"1.6.0_20",1278201855328
java.vm.info,sysinfo,,,"mixed mode",1278201855328
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1278201855328
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1278201855328
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1278201855328
java.vm.specification.version,sysinfo,,,"1.0",1278201855328
java.vm.vendor,sysinfo,,,"Apple Inc.",1278201855328
java.vm.version,sysinfo,,,"16.3-b01-279",1278201855328
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278201867779
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278201874216
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.import",1278201874235
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278201887332
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278201918099
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1278201918349
started,bundle,org.eclipse.jdt.launching,3.5.100.v20100526,"org.eclipse.jdt.launching",1278201918366
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.100.v201004202202,"org.eclipse.jst.common.project.facet.core",1278201918678
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.0.v201005191955,"org.eclipse.jst.ws.jaxrs.core",1278201918694
started,bundle,org.eclipse.ltk.core.refactoring,3.5.100.v20100526-0800,"org.eclipse.ltk.core.refactoring",1278201918901
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1278201919145
started,bundle,org.eclipse.compare.core,3.5.100.I20100526-0800,"org.eclipse.compare.core",1278201919251
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1278201919624
executed,command,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.edit.text.openLocalFile",1278201919707
started,bundle,org.eclipse.jdt.launching.macosx,3.2.100.v20100505,"org.eclipse.jdt.launching.macosx",1278201919748
started,bundle,org.eclipse.jdt.apt.core,3.3.400.v20100513-0845,"org.eclipse.jdt.apt.core",1278201920747
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.300.v20100513-0845,"org.eclipse.jdt.apt.pluggable.core",1278201920770
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278201927036
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278201930138
activated,view,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.internal.introview",1278201930148
closed,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278201930265
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.300.v201004280700,"org.eclipse.jst.j2ee.xdoclet.runtime",1278201930807
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.100.v201003112036,"org.eclipse.jst.j2ee.ejb.annotations.xdoclet",1278201930808
stopped,bundle,org.eclipse.jst.server.generic.jboss,1.6.1.v200904151730,"org.eclipse.jst.server.generic.jboss",1278201930808
stopped,bundle,org.eclipse.jst.server.generic.jonas,1.5.205.v200805140145,"org.eclipse.jst.server.generic.jonas",1278201930809
stopped,bundle,org.eclipse.jst.server.generic.oc4j,1.5.206.v20090812,"org.eclipse.jst.server.generic.oc4j",1278201930809
stopped,bundle,org.eclipse.jst.server.websphere.core,1.0.302.v20080620,"org.eclipse.jst.server.websphere.core",1278201930809
stopped,bundle,org.eclipse.jst.server.generic.ui,1.0.505.v20100428,"org.eclipse.jst.server.generic.ui",1278201930810
stopped,bundle,org.eclipse.jst.server.generic.core,1.0.606.v20100512,"org.eclipse.jst.server.generic.core",1278201930811
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1278201930812
stopped,bundle,org.eclipse.datatools.connectivity.oda.template.ui,3.2.1.v201004090942,"org.eclipse.datatools.connectivity.oda.template.ui",1278201930813
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.200.v20100601-1815,"org.eclipse.pde.api.tools.ui",1278201930813
stopped,bundle,org.eclipse.pde.ds.ui,1.0.100.v20100601,"org.eclipse.pde.ds.ui",1278201930814
stopped,bundle,org.eclipse.pde.runtime,3.4.200.v20100601,"org.eclipse.pde.runtime",1278201930831
stopped,bundle,org.eclipse.pde.ua.ui,1.0.100.v20100504,"org.eclipse.pde.ua.ui",1278201930848
